	#tiempo		   #pulsos		#phi                     #phip          #phipp                 #s		       #v		#a
   1.460000000000e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   3.440000000000e-01   4.000000000000e+00   2.792524444444e-01   1.410365881033e+00   7.123060005215e+00   1.836084824095e-03   9.273155677246e-03   4.683411958205e-02
   5.420000000000e-01   2.400000000000e+01   1.675514666667e+00   7.051829405163e+00   2.849224002086e+01   1.101650894457e-02   4.636577838623e-02   1.873364783282e-01
   7.680000000000e-01   5.200000000000e+01   3.630281777778e+00   8.649411996067e+00   7.068949517275e+00   2.386910271323e-02   5.686988393214e-02   4.647834312348e-02
   9.660000000000e-01   8.500000000000e+01   5.934114444444e+00   1.163551851852e+01   1.508134607299e+01   3.901680251201e-02   7.650353433728e-02   9.915985053103e-02
   1.164000000000e+00   1.230000000000e+02   8.587012666667e+00   1.339847586981e+01   8.903825006519e+00   5.645960834091e-02   8.809497893384e-02   5.854264947756e-02
   1.362000000000e+00   1.700000000000e+02   1.186822888889e+01   1.657179910213e+01   1.602688501173e+01   7.803360502403e-02   1.089595792076e-01   1.053767690596e-01
   1.812000000000e+00   2.120000000000e+02   1.480037955556e+01   6.515890370370e+00  -2.234646384836e+01   9.731249567702e-02   4.284197922888e-02  -1.469279999528e-01
   2.010000000000e+00   3.090000000000e+02   2.157225133333e+01   3.420137261504e+01   1.398256679024e+02   1.418375526613e-01   2.248740251732e-01   9.193537673957e-01
   2.208000000000e+00   3.640000000000e+02   2.541197244444e+01   1.939253086420e+01  -7.479213005476e+01   1.670837189926e-01   1.275058905621e-01  -4.917582556115e-01
   2.405000000000e+00   4.150000000000e+02   2.897244111111e+01   1.807344500846e+01  -6.695867288006e+00   1.904938004998e-01   1.188329010518e-01  -4.402532746354e-02
   2.631000000000e+00   4.670000000000e+02   3.260272288889e+01   1.606319370698e+01  -8.894917263181e+00   2.143629032131e-01   1.056154987311e-01  -5.848408106506e-02
   2.829000000000e+00   5.280000000000e+02   3.686132266667e+01   2.150807968575e+01   2.749942413518e+01   2.423631967805e-01   1.414156240780e-01   1.808087138732e-01
   3.055000000000e+00   5.910000000000e+02   4.125954866667e+01   1.946117699115e+01  -9.057091569008e+00   2.712815327600e-01   1.279572388473e-01  -5.955037712696e-02
   3.280000000000e+00   6.470000000000e+02   4.516908288889e+01   1.737570765432e+01  -9.268752608131e+00   2.969867202973e-01   1.142452779437e-01  -6.094204846061e-02
   3.478000000000e+00   7.120000000000e+02   4.970693511111e+01   2.291844556678e+01   2.799362582049e+01   3.268230986889e-01   1.506887797553e-01   1.840580899575e-01
   3.704000000000e+00   7.800000000000e+02   5.445422666667e+01   2.100571484759e+01  -8.463410261893e+00   3.580365406985e-01   1.381125752638e-01  -5.564692252870e-02
