      	#tiempo		   #pulsos		#phi                     #phip          #phipp                 #s		       #v		#a
   5.100000000000e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   7.920000000000e-01   1.000000000000e+01   6.981311111111e-01   2.475642237983e+00   8.778873184336e+00   4.590212060237e-03   1.627734773134e-02   5.772109124587e-02
   1.018000000000e+00   8.000000000000e+01   5.585048888889e+00   2.162352999017e+01   8.472516704506e+01   3.672169648190e-02   1.421747098303e-01   5.570679738894e-01
   1.216000000000e+00   1.660000000000e+02   1.158897644444e+01   3.032286644220e+01   4.393604268703e+01   7.619752019993e-02   1.993728470608e-01   2.888794809619e-01
   1.442000000000e+00   2.380000000000e+02   1.661552044444e+01   2.224134513274e+01  -3.575894384715e+01   1.092470470336e-01   1.462368443969e-01  -2.351150560348e-01
   1.639000000000e+00   2.960000000000e+02   2.066468088889e+01   2.055411393119e+01  -8.564625388595e+00   1.358702769830e-01   1.351432992354e-01  -5.631241198745e-02
   1.893000000000e+00   3.550000000000e+02   2.478365444444e+01   1.621643132108e+01  -1.707749059097e+01   1.629525281384e-01   1.066230360449e-01  -1.122845007501e-01
   2.343000000000e+00   4.020000000000e+02   2.806487066667e+01   7.291591604938e+00  -1.983297714699e+01   1.845265248215e-01   4.794221485136e-02  -1.304018248745e-01
   2.569000000000e+00   4.600000000000e+02   3.211403111111e+01   1.791663913471e+01   4.701348464501e+01   2.111497547709e-01   1.178019024309e-01   3.091136618562e-01
   3.215000000000e+00   4.630000000000e+02   3.232347044444e+01   3.242094943240e-01  -2.723286322041e+01   2.125268183890e-01   2.131677427355e-03  -1.790560758568e-01
   3.497000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00  -1.149679057887e+00   2.125268183890e-01   0.000000000000e+00  -7.559139813314e-03
   3.947000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   4.229000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   4.454000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   4.680000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   5.159000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   5.386000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   5.613000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   5.840000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   6.291000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   6.518000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   6.940000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   7.167000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   7.618000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   7.817000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   8.044000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   8.271000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   8.498000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   8.921000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   9.148000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   9.375000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   9.601000000000e+00   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.005200000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.025100000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.047800000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.073300000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.093200000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.115900000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.135800000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.175300000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.200800000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.220600000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.243300000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.263200000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.308300000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.331000000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.350900000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.373600000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.474600000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.514100000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.553600000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.576300000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.596200000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.621700000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.644400000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.667100000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.687000000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.709700000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.729500000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.752200000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.772100000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.794800000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.817500000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.904600000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.969300000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   1.994700000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
   2.014600000000e+01   4.630000000000e+02   3.232347044444e+01   0.000000000000e+00   0.000000000000e+00   2.125268183890e-01   0.000000000000e+00   0.000000000000e+00
